anio_c,pais_c,population,population_int,population_nat,poor_int_pop,poor31_int_pop,poor_national_pop,poor_e_national_pop,poor_int_delta_pop,poor31_int_delta_pop,poor_national_delta_pop,poor_e_national_delta_pop,poor_national_new_pop,poor_e_national_new_pop,national_recovery,poor_national_recovery,poor_e_national_recovery,poor_national_new_recovery,poor_e_national_new_recovery,poor_int,poor_int_delta,poor31_int,poor31_int_delta,poor_national,poor_national_delta,poor_e_national,poor_e_national_delta,shock_weight,zona_c,category,shock_component,shock_population,gdp_growth
2020,COL,38525662.56885433,37467516.24324703,38525662.56885433,10534109.97433281,4917797.986974716,14336744.283247948,3505478.6149072647,9698234.534034729,4562709.493377686,13373795.35421276,3195682.1432151794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2811531435909213,0.2588438067544094,0.13125497711263626,0.12177774111728173,0.3721349180594843,0.34713991823789336,0.09099074178522323,0.08294944019466897,0.0,1.0,anio_c_pais_c_zona_c,Granos_panes_cereales,,IMF
2020,COL,11094577.08820343,10930253.566101074,11094577.08820343,6400265.446769714,3875203.7391433716,4603238.537315369,1686402.6380310059,6111780.186424255,3647823.3127822876,4217676.095573425,1504230.7274169922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5855550750093669,0.5591617934079077,0.35453923513374574,0.3337363850455942,0.41490887851956704,0.3801565451339257,0.15200242646690093,0.13558252067277093,0.0,0.0,anio_c_pais_c_zona_c,Granos_panes_cereales,,IMF
2021,CRI,1420242.0,1405255.0,1419983.0,383906.0,173305.0,420838.0,142214.0,368091.0,164365.0,401982.0,128787.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27319312153310255,0.2619389363496305,0.1233263713703207,0.1169645366855126,0.2963683368040322,0.2830893045902662,0.10015190322701047,0.09069615622158857,0.0,0.0,anio_c_pais_c_zona_c,Granos_panes_cereales,,IMF
2021,CRI,3743171.0,3695155.0,3734720.0,494362.0,190074.0,930830.0,234562.0,464986.0,174401.0,882927.0,221028.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13378653940091823,0.12583666990965198,0.051438708254457524,0.04719720823619036,0.24923689058349754,0.23641049395938651,0.06280577928198097,0.05918194670550938,0.0,1.0,anio_c_pais_c_zona_c,Granos_panes_cereales,,IMF
2020,DOM,8644310.983200073,8512201.47013855,8644310.983200073,1838364.7558135986,703075.3580780029,1863204.0774230957,250879.1880645752,1692043.3481292725,622425.5681915283,1589007.4967193604,220270.15376281738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21596819133836553,0.19877858319790587,0.08259618390664798,0.0731215738225939,0.21554107447593798,0.18382118595774063,0.029022462120133163,0.025481516594081932,0.0,1.0,anio_c_pais_c_zona_c,Granos_panes_cereales,,IMF
2020,DOM,1836653.0114440918,1791611.2179870605,1836653.0114440918,643688.0153808594,297272.5010986328,504093.6022949219,75038.86784362793,580509.8417816162,270939.1015930176,469291.2055053711,57459.6575012207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.359278848512718,0.32401552075223095,0.1659246705502487,0.15122650431795542,0.2744631670511197,0.2555143527826113,0.04085631165825256,0.03128498259779745,0.0,0.0,anio_c_pais_c_zona_c,Granos_panes_cereales,,IMF
2020,ECU,5631839.009780884,5556432.80493927,5556432.80493927,3045382.7109832764,1922197.9278945923,2622083.864845276,1488066.0630950928,2942966.0637664795,1854156.5766983032,2539715.9067840576,1455963.444595337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5480823430954028,0.5296502571128717,0.3459410012456006,0.3336954916561019,0.4719005802633718,0.4570766885773247,0.26780960291147743,0.26203204388633833,0.0,0.0,anio_c_pais_c_zona_c,Granos_panes_cereales,,IMF
2020,ECU,12063705.98012352,11833883.153551102,11833883.153551102,3540717.5342960358,1568978.1026420593,2911850.8982276917,1024455.2994174957,3425571.514772415,1489993.6201114655,2774177.140182495,927034.3706798553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29920166426804207,0.2894714668316184,0.1325835384956663,0.12590910361189,0.2460604740172634,0.23442661248096086,0.08656966492947651,0.07833729289457042,0.0,1.0,anio_c_pais_c_zona_c,Granos_panes_cereales,,IMF
2014,GTM,7925534.999755859,7889106.374755859,7925534.999755859,3105058.0,1592344.0,3340331.0,889739.0,2934902.0,1441250.0,3162320.0,786396.0,0.0,0.0,5.82644722601761e-08,2.455640192054106e-08,6.540905224176754e-09,0.0,0.0,0.39358805072470465,0.3720195749155208,0.2018408580590698,0.18268862549652232,0.4214644185033435,0.3990039789234939,0.11226232677382761,0.09922308084239416,0.0,1.0,anio_c_pais_c_zona_c,Granos_panes_cereales,,IMF
2014,GTM,8076468.999008179,8045789.999008179,8076468.999008179,6052870.231903076,4378527.429046631,6146412.199783325,2847670.676925659,5906822.231903076,4194593.429046631,5982910.199783325,2637293.676925659,0.0,0.0,5.937406168383674e-08,4.5185273060424606e-08,2.0934615665311367e-08,0.0,0.0,0.7523027860097301,0.734150684100781,0.5442010578931815,0.5213401579663037,0.7610271519073655,0.7407829090309205,0.3525885727135663,0.32654043211823497,0.0,0.0,anio_c_pais_c_zona_c,Granos_panes_cereales,,IMF
2019,GUY,205230.80168914795,173413.6214504242,173413.6214504242,66551.86953926086,41153.69994163513,66551.86953926086,41153.69994163513,43806.161113739014,27549.402322769165,43806.161113739014,27549.402322769165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38377532850432305,0.2526108430661106,0.23731526737880984,0.15886527305264217,0.38377532850432305,0.2526108430661106,0.23731526737880984,0.15886527305264217,0.0,1.0,anio_c_pais_c_zona_c,Granos_panes_cereales,,IMF
2019,GUY,539828.3459997177,442737.8840456009,442737.8840456009,233370.7621421814,148227.82056713104,233370.7621421814,148227.82056713104,163507.70232963562,103642.56144714355,163507.70232963562,103642.56144714355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5271081842143529,0.36931039385099185,0.33479814108671113,0.23409463066519204,0.5271081842143529,0.36931039385099185,0.33479814108671113,0.23409463066519204,0.0,0.0,anio_c_pais_c_zona_c,Granos_panes_cereales,,IMF
2019,HND,1236188.0137634277,295085.5631980896,295233.75788497925,100800.66688919067,55805.716079711914,173190.87423324585,81463.93245697021,97604.59506225586,51833.978744506836,167413.470287323,78378.39873123169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34159809716452866,0.3307670968529705,0.18911706650402885,0.17565745400330182,0.5866228695321477,0.5670539557761073,0.2759302765394055,0.2654791216720118,0.0,1.0,anio_c_pais_c_zona_c,Granos_panes_cereales,,IMF
2019,HND,1014831.177192688,225132.013130188,225439.57105255127,167801.20752716064,129020.43711090088,155011.70058441162,130022.00804901123,165906.46967315674,126265.87789154053,152086.66605377197,127138.11636352539,0.0,0.0,9.414918320153686e-09,1.4380938745965389e-09,1.2062563834412167e-09,0.0,0.0,0.7453458315149768,0.7369297123337912,0.5730879199143114,0.5608526132555136,0.6875975671027048,0.6746227618500911,0.5767488264901921,0.5639565217851162,0.0,0.0,anio_c_pais_c_zona_c,Granos_panes_cereales,,IMF
2018,JAM,1678926.1209049225,1657743.718503952,1657743.718503952,155.60022735595703,73.92912292480469,151790.30852890015,48137.32678604126,155.60022735595703,73.92912292480469,142622.27389526367,38413.076290130615,0.0,0.0,-2.339863947011801e-08,-2.142482378115143e-09,-6.794463715648025e-10,0.0,0.0,9.386265537858895e-05,9.386265537858895e-05,4.459623167296498e-05,4.459623167296498e-05,0.09156439975286704,0.08603397033165935,0.02903785805292225,0.023171902786515694,0.0,1.0,anio_c_pais_c_zona_c,Granos_panes_cereales,,IMF
2018,JAM,1479038.613418579,1458260.6801338196,1458260.6801338196,608.3963928222656,0.0,201316.80547714233,49610.66688537598,608.3963928222656,0.0,188791.7388343811,46987.298515319824,0.0,0.0,-2.058298609551914e-08,-2.841536540332481e-09,-7.002421999044893e-10,0.0,0.0,0.00041720688290548656,0.00041720688290548656,0.0,0.0,0.1380526871633597,0.12946364213636777,0.03402043788276824,0.03222146709119796,0.0,0.0,anio_c_pais_c_zona_c,Granos_panes_cereales,,IMF
